Date,ABBV
2013-01-02,35.119999
2013-01-03,34.830002
2013-01-04,34.389998999999996
2013-01-07,34.459998999999996
2013-01-08,33.709998999999996
2013-01-09,33.900002
2013-01-10,34.0
2013-01-11,33.849998
2013-01-14,34.09
2013-01-15,34.599998
2013-01-16,35.540001000000004
2013-01-17,36.419998
2013-01-18,37.32
2013-01-22,36.419998
2013-01-23,37.799999
2013-01-24,37.459998999999996
2013-01-25,37.599998
2013-01-28,36.889998999999996
2013-01-29,37.310001
2013-01-30,36.93
2013-01-31,36.689999
2013-02-01,37.18
2013-02-04,37.279999
2013-02-05,37.200001
2013-02-06,37.139998999999996
2013-02-07,36.419998
2013-02-08,36.25
2013-02-11,35.849998
2013-02-12,35.419998
2013-02-13,35.27
2013-02-14,36.57
2013-02-15,37.580002
2013-02-19,38.189999
2013-02-20,38.610001000000004
2013-02-21,38.779999
2013-02-22,38.459998999999996
2013-02-25,37.369999
2013-02-26,37.09
2013-02-27,36.73
2013-02-28,36.919998
2013-03-01,37.810001
2013-03-04,38.240002000000004
2013-03-05,37.509997999999996
2013-03-06,37.740002000000004
2013-03-07,37.490002000000004
2013-03-08,37.34
2013-03-11,37.669998
2013-03-12,37.169998
2013-03-13,37.169998
2013-03-14,37.560001
2013-03-15,38.5
2013-03-18,38.16
2013-03-19,38.360001000000004
2013-03-20,39.060001
2013-03-21,38.490002000000004
2013-03-22,38.970001
2013-03-25,39.32
2013-03-26,40.209998999999996
2013-03-27,40.150002
2013-03-28,40.779999
2013-04-01,41.119999
2013-04-02,40.709998999999996
2013-04-03,40.57
2013-04-04,41.599998
2013-04-05,41.310001
2013-04-08,41.77
2013-04-09,42.549999
2013-04-10,43.619999
2013-04-11,43.200001
2013-04-12,43.09
2013-04-15,41.439999
2013-04-16,42.450001
2013-04-17,42.240002000000004
2013-04-18,42.32
2013-04-19,42.389998999999996
2013-04-22,44.200001
2013-04-23,45.139998999999996
2013-04-24,44.32
2013-04-25,44.240002000000004
2013-04-26,45.84
2013-04-29,45.23
2013-04-30,46.049999
2013-05-01,45.549999
2013-05-02,43.990002000000004
2013-05-03,44.68
2013-05-06,44.59
2013-05-07,44.91
2013-05-08,43.490002000000004
2013-05-09,44.240002000000004
2013-05-10,45.009997999999996
2013-05-13,44.540001000000004
2013-05-14,45.349998
2013-05-15,46.029999
2013-05-16,46.209998999999996
2013-05-17,47.169998
2013-05-20,46.259997999999996
2013-05-21,46.540001000000004
2013-05-22,46.759997999999996
2013-05-23,46.59
2013-05-24,45.439999
2013-05-28,45.389998999999996
2013-05-29,43.880001
2013-05-30,44.549999
2013-05-31,42.689999
