Date,BXP
1997-06-18,26.75
1997-06-19,26.625
1997-06-20,26.375
1997-06-23,26.125
1997-06-24,26.0625
1997-06-25,26.4375
1997-06-26,27.0
1997-06-27,26.875
1997-06-30,27.25
1997-07-01,26.625
1997-07-02,26.375
1997-07-03,26.625
1997-07-07,26.75
1997-07-08,26.6875
1997-07-09,26.5625
1997-07-10,26.375
1997-07-11,26.4375
1997-07-14,26.75
1997-07-15,26.6875
1997-07-16,26.875
1997-07-17,27.0625
1997-07-18,26.625
1997-07-21,26.8125
1997-07-22,26.8125
1997-07-23,26.8125
1997-07-24,27.0625
1997-07-25,27.3125
1997-07-28,27.3125
1997-07-29,27.4375
1997-07-30,27.5625
1997-07-31,27.875
1997-08-01,27.875
1997-08-04,27.875
1997-08-05,28.125
1997-08-06,29.375
1997-08-07,29.25
1997-08-08,29.0
1997-08-11,28.1875
1997-08-12,27.9375
1997-08-13,27.6875
1997-08-14,27.5
1997-08-15,27.625
1997-08-18,27.8125
1997-08-19,28.25
1997-08-20,28.6875
1997-08-21,29.0
1997-08-22,29.25
1997-08-25,29.3125
1997-08-26,29.25
1997-08-27,29.3125
1997-08-28,29.5625
1997-08-29,29.8125
1997-09-02,29.875
1997-09-03,29.9375
1997-09-04,29.625
1997-09-05,30.875
1997-09-08,31.1875
1997-09-09,31.0
1997-09-10,30.5625
1997-09-11,30.125
1997-09-12,30.5625
1997-09-15,31.0
1997-09-16,31.8125
1997-09-17,31.75
1997-09-18,32.0
1997-09-19,32.0
1997-09-22,31.9375
1997-09-23,31.5625
1997-09-24,31.875
1997-09-25,32.125
1997-09-26,32.4375
1997-09-29,33.25
1997-09-30,32.8125
1997-10-01,33.75
1997-10-02,34.0
1997-10-03,33.9375
1997-10-06,33.5
1997-10-07,32.8125
1997-10-08,33.1875
1997-10-09,32.8125
1997-10-10,32.5
1997-10-13,32.75
1997-10-14,33.25
1997-10-15,33.3125
1997-10-16,32.375
1997-10-17,32.0
1997-10-20,31.9375
1997-10-21,31.5
1997-10-22,31.75
1997-10-23,31.1875
1997-10-24,31.875
1997-10-27,30.875
1997-10-28,30.0
1997-10-29,30.8125
1997-10-30,30.0625
1997-10-31,32.0
1997-11-03,33.75
1997-11-04,34.0625
1997-11-05,33.5
1997-11-06,33.75
1997-11-07,33.625
1997-11-10,33.0625
1997-11-11,32.625
1997-11-12,32.4375
1997-11-13,31.9375
1997-11-14,33.25
1997-11-17,34.0
1997-11-18,34.0
1997-11-19,34.1875
1997-11-20,34.375
1997-11-21,34.3125
1997-11-24,34.0
1997-11-25,33.9375
1997-11-26,32.75
1997-11-28,32.625
1997-12-01,33.25
1997-12-02,33.875
1997-12-03,34.375
1997-12-04,34.375
1997-12-05,33.9375
1997-12-08,33.875
1997-12-09,34.375
1997-12-10,34.0625
1997-12-11,33.875
1997-12-12,33.5
1997-12-15,34.0625
1997-12-16,33.875
1997-12-17,34.375
1997-12-18,34.0625
1997-12-19,34.0
1997-12-22,33.25
1997-12-23,32.875
1997-12-24,33.25
1997-12-26,33.1875
1997-12-29,33.1875
1997-12-30,33.6875
1997-12-31,33.0625
1998-01-02,33.1875
1998-01-05,33.625
1998-01-06,33.6875
1998-01-07,33.5625
1998-01-08,33.6875
1998-01-09,33.4375
1998-01-12,33.0
1998-01-13,32.5
1998-01-14,32.875
1998-01-15,33.25
1998-01-16,34.5
1998-01-20,33.5625
1998-01-21,34.125
1998-01-22,34.5625
1998-01-23,34.9375
1998-01-26,35.125
1998-01-27,35.5625
1998-01-28,35.625
1998-01-29,35.75
1998-01-30,35.5625
1998-02-02,35.875
1998-02-03,35.875
1998-02-04,35.6875
1998-02-05,35.8125
1998-02-06,35.75
1998-02-09,35.6875
1998-02-10,35.5625
1998-02-11,35.4375
1998-02-12,35.3125
1998-02-13,35.1875
1998-02-17,35.125
1998-02-18,35.0
1998-02-19,35.0
1998-02-20,34.875
1998-02-23,34.875
1998-02-24,35.0
1998-02-25,34.75
1998-02-26,34.125
1998-02-27,34.0
1998-03-02,33.625
1998-03-03,33.125
1998-03-04,34.09375
1998-03-05,34.3125
1998-03-06,34.375
1998-03-09,34.3125
1998-03-10,34.4375
1998-03-11,34.25
1998-03-12,34.3125
1998-03-13,34.25
1998-03-16,33.1875
1998-03-17,33.0
1998-03-18,32.8125
1998-03-19,32.875
1998-03-20,33.5
1998-03-23,34.0
1998-03-24,34.375
1998-03-25,34.3125
1998-03-26,35.0
1998-03-27,35.1875
1998-03-30,35.125
1998-03-31,35.1875
1998-04-01,35.0
1998-04-02,35.25
1998-04-03,35.3125
1998-04-06,34.75
1998-04-07,34.875
1998-04-08,34.5
1998-04-09,35.0
1998-04-13,34.75
1998-04-14,35.1875
1998-04-15,35.5625
1998-04-16,35.9375
1998-04-17,35.25
1998-04-20,34.375
1998-04-21,34.0
1998-04-22,33.875
1998-04-23,33.25
1998-04-24,33.0625
1998-04-27,32.625
1998-04-28,32.9375
1998-04-29,33.6875
1998-04-30,33.0625
1998-05-01,33.0625
1998-05-04,33.1875
1998-05-05,33.375
1998-05-06,33.25
1998-05-07,33.375
1998-05-08,33.4375
1998-05-11,33.4375
1998-05-12,33.125
1998-05-13,34.0
1998-05-14,34.0
1998-05-15,34.4375
1998-05-18,34.5625
1998-05-19,34.5625
1998-05-20,34.625
1998-05-21,34.4375
1998-05-22,34.8125
1998-05-26,34.4375
1998-05-27,34.1875
1998-05-28,34.0625
1998-05-29,34.0
1998-06-01,33.875
1998-06-02,33.3125
1998-06-03,33.4375
1998-06-04,33.5
1998-06-05,33.0625
1998-06-08,32.0625
1998-06-09,32.3125
1998-06-10,33.0
1998-06-11,33.0625
1998-06-12,32.1875
1998-06-15,32.1875
1998-06-16,32.4375
1998-06-17,32.625
1998-06-18,33.375
1998-06-19,34.0
1998-06-22,33.8125
1998-06-23,34.125
1998-06-24,33.9375
1998-06-25,33.9375
1998-06-26,33.875
1998-06-29,34.0
1998-06-30,34.0
1998-07-01,34.3125
1998-07-02,34.125
1998-07-06,34.5
1998-07-07,34.6875
1998-07-08,34.5
1998-07-09,34.375
1998-07-10,34.1875
1998-07-13,34.125
1998-07-14,33.625
1998-07-15,33.8125
1998-07-16,33.5
1998-07-17,33.9375
1998-07-20,33.625
1998-07-21,33.8125
1998-07-22,33.75
1998-07-23,32.8125
1998-07-24,33.3125
1998-07-27,32.8125
1998-07-28,32.125
1998-07-29,32.1875
1998-07-30,32.0625
1998-07-31,32.3125
1998-08-03,31.75
1998-08-04,31.0625
1998-08-05,30.6875
1998-08-06,31.25
1998-08-07,31.6875
1998-08-10,31.625
1998-08-11,31.625
1998-08-12,32.1875
1998-08-13,32.0
1998-08-14,31.625
1998-08-17,31.75
1998-08-18,31.75
1998-08-19,31.9375
1998-08-20,31.875
1998-08-21,31.625
1998-08-24,31.625
1998-08-25,31.625
1998-08-26,32.3125
1998-08-27,31.0
1998-08-28,29.75
1998-08-31,28.375
1998-09-01,28.5625
1998-09-02,27.6875
1998-09-03,27.0
1998-09-04,27.0
1998-09-08,27.0625
1998-09-09,26.125
1998-09-10,24.5625
1998-09-11,23.875
1998-09-14,24.0
1998-09-15,24.8125
1998-09-16,26.0
1998-09-17,26.9375
1998-09-18,27.5
1998-09-21,29.4375
1998-09-22,31.375
1998-09-23,31.4375
1998-09-24,30.875
1998-09-25,29.625
1998-09-28,28.875
1998-09-29,28.8125
1998-09-30,28.5
1998-10-01,28.125
1998-10-02,27.625
1998-10-05,26.75
1998-10-06,27.3125
1998-10-07,27.125
1998-10-08,26.625
1998-10-09,26.9375
1998-10-12,28.0
1998-10-13,28.3125
1998-10-14,28.375
1998-10-15,28.6875
1998-10-16,30.0
1998-10-19,29.9375
1998-10-20,29.9375
1998-10-21,29.5
1998-10-22,29.1875
1998-10-23,28.8125
1998-10-26,28.8125
1998-10-27,28.6875
1998-10-28,27.875
1998-10-29,27.8125
1998-10-30,28.5
1998-11-02,29.5625
1998-11-03,29.0
1998-11-04,30.6875
1998-11-05,30.5
1998-11-06,30.375
1998-11-09,31.25
1998-11-10,30.875
1998-11-11,30.3125
1998-11-12,29.5
1998-11-13,29.875
1998-11-16,30.3125
1998-11-17,30.0
1998-11-18,30.0
1998-11-19,30.375
1998-11-20,30.9375
1998-11-23,31.0
1998-11-24,31.375
1998-11-25,31.4375
1998-11-27,31.25
1998-11-30,31.5625
1998-12-01,31.9375
1998-12-02,32.125
1998-12-03,32.0
1998-12-04,32.5
1998-12-07,32.1875
1998-12-08,32.0
1998-12-09,31.5625
1998-12-10,31.5
1998-12-11,31.375
1998-12-14,31.4375
1998-12-15,31.5625
1998-12-16,31.9375
1998-12-17,31.75
1998-12-18,31.75
1998-12-21,31.1875
1998-12-22,30.375
1998-12-23,30.5
1998-12-24,30.375
1998-12-28,30.25
1998-12-29,30.4375
1998-12-30,30.625
1998-12-31,30.5
1999-01-04,30.3125
1999-01-05,31.3125
1999-01-06,31.375
1999-01-07,31.4375
1999-01-08,31.625
1999-01-11,31.6875
1999-01-12,31.625
1999-01-13,31.625
1999-01-14,31.375
1999-01-15,31.625
1999-01-19,31.75
1999-01-20,31.8125
1999-01-21,31.9375
1999-01-22,34.125
1999-01-25,34.25
1999-01-26,34.6875
1999-01-27,33.375
1999-01-28,32.9375
1999-01-29,32.5
1999-02-01,33.5
1999-02-02,34.25
1999-02-03,34.0625
1999-02-04,34.0
1999-02-05,33.625
1999-02-08,33.625
1999-02-09,33.375
1999-02-10,32.9375
1999-02-11,33.125
1999-02-12,32.75
1999-02-16,32.8125
1999-02-17,32.5625
1999-02-18,32.5
1999-02-19,32.375
1999-02-22,32.5625
1999-02-23,32.125
1999-02-24,32.4375
1999-02-25,32.6875
