Period,Portfolio Value,Stock 1,Stock 2,Stock 3,Stock 4,Stock 5,Stock 6,Stock 7,Stock 8,Stock 9,Stock 10,Stock 11,Stock 12,Stock 13,,,,,,,
2019   Q4,$6.55 B,CMG,HLT,LOW,QSR,BRK.B,SBUX,HHC,A,,,,,,,,,,,,
2019   Q3,$6.49 B,CMG,QSR,HLT,LOW,BRK.B,SBUX,A,HHC,,,,,,,,,,,,
2019   Q2,$6.71 B,CMG,QSR,HLT,LOW,SBUX,BRK.B,ADP,HHC,,,,,,,,,,,,
2019   Q1,$6.72 B,CMG,QSR,LOW,HLT,RTX,SBUX,ADP,HHC,,,,,,,,,,,,
2018   Q4,$5.96 B,QSR,LOW,CMG,HLT,SBUX,RTX,ADP,PAH,HHC,,,,,,,,,,,
2018   Q3,$5.21 B,QSR,LOW,CMG,RTX,ADP,PAH,HHC,,,,,,,,,,,,,
2018   Q2,$5.81 B,QSR,CMG,LOW,MDLZ,RTX,ADP,PAH,HHC,,,,,,,,,,,,
2018   Q1,$4.83 B,QSR,CMG,ADP,MDLZ,PAH,HHC,RTX,,,,,,,,,,,,,
2017   Q4,$5.87 B,QSR,ADP,MDLZ,CMG,HHC,PAH,NKE,,,,,,,,,,,,,
2017   Q3,$5.11 B,QSR,ADP,CMG,MDLZ,HHC,PAH,,,,,,,,,,,,,,
2017   Q2,$6.02 B,QSR,CMG,MDLZ,HHC,PAH,NOMD,ADP,,,,,,,,,,,,,
2017   Q1,$5.96 B,QSR,CMG,MDLZ,PAH,HHC,NOMD,APD,,,,,,,,,,,,,
2016   Q4,$5.91 B,QSR,CMG,MDLZ,APD,HHC,PAH,NOMD,BHC,,,,,,,,,,,,
2016   Q3,$5.41 B,QSR,MDLZ,APD,BHC,HHC,NOMD,PAH,CMG,ZTS,,,,,,,,,,,
2016   Q2,$7.51 B,QSR,CP,APD,MDLZ,ZTS,BHC,HHC,PAH,NOMD,,,,,,,,,,,
2016   Q1,$8.85 B,ZTS,CP,QSR,APD,MDLZ,BHC,HHC,PAH,NOMD,,,,,,,,,,,
2015   Q4,$12.5 B,APD,ZTS,MDLZ,CP,BHC,QSR,PAH,HHC,,,,,,,,,,,,
2015   Q3,$14 B,BHC,APD,CP,MDLZ,ZTS,QSR,PAH,HHC,,,,,,,,,,,,
2015   Q2,$14.4 B,BHC,APD,CP,ZTS,QSR,PAH,HHC,,,,,,,,,,,,,
2015   Q1,$15 B,BHC,APD,CP,ZTS,QSR,PAH,HHC,ACT,,,,,,,,,,,,
2014   Q4,$16 B,AGN,APD,CP,ZTS,QSR,PAH,HHC,,,,,,,,,,,,,
2014   Q3,$13.4 B,AGN,CP,APD,BKW-OLD,PAH,HHC,ZTS,,,,,,,,,,,,,
