"Date","Mkt.RF","SMB","HML","RMW","CMA","RF","Rp","Rp.Rf"
2007-04-01,3.49,-2.02,-1.15,1.02,1.01,0.44,2.55828851951017,2.11828851951017
2007-05-01,3.24,0.28,-0.04,1.13,-1.29,0.41,2.27994959506181,1.86994959506181
2007-06-01,-1.96,0.76,-1.12,0.53,0.07,0.4,-0.0733198651835141,-0.473319865183514
2007-07-01,-3.73,-2.87,-3.33,0.57,-1.04,0.4,-6.55035238591462,-6.95035238591462
2007-08-01,0.92,-0.34,-2.24,-0.91,-0.56,0.42,2.51758641441912,2.09758641441912
2007-09-01,3.22,-2.41,-1.86,-0.58,-3.17,0.32,0.880822638704687,0.560822638704687
2007-10-01,1.8,0.03,-2.6,-0.31,-0.1,0.32,2.03375648536775,1.71375648536775
2007-11-01,-4.83,-2.81,-1.18,1.88,-0.34,0.34,-11.3682811709744,-11.7082811709744
2007-12-01,-0.87,0.18,-0.51,0.7,-1.09,0.27,-6.07390996638645,-6.34390996638645
2008-01-01,-6.36,-0.52,3.65,1.98,2.2,0.21,8.51718382078189,8.30718382078189
2008-02-01,-3.09,-0.53,-0.94,0.76,-1.06,0.13,-7.18645866120843,-7.31645866120843
2008-03-01,-0.93,0.75,-0.14,1.09,0.47,0.17,-2.14775875434841,-2.31775875434841
2008-04-01,4.6,-1.15,-0.95,1.28,-2.54,0.18,2.06900795644326,1.88900795644326
2008-05-01,1.86,3.22,-1.38,0.81,0.04,0.18,-1.53883100776073,-1.71883100776073
2008-06-01,-8.44,1.15,-2.42,4.3,-0.42,0.17,-7.94218915502638,-8.11218915502638
2008-07-01,-0.77,3.66,5.88,-0.98,1.06,0.15,-2.02819655077902,-2.17819655077902
2008-08-01,1.53,3.42,1.52,1.85,0.81,0.13,4.37647676877525,4.24647676877525
2008-09-01,-9.24,0.35,6.33,2.95,1.77,0.15,-6.6928865801888,-6.8428865801888
2008-10-01,-17.23,-3.2,-2.89,3.6,1.91,0.08,-12.1713396417037,-12.2513396417037
2008-11-01,-7.86,-3.88,-6.02,4.83,2.72,0.03,-6.24078237463544,-6.27078237463544
2008-12-01,1.74,3.37,-0.25,-0.08,-1.4,0,3.19329729906272,3.19329729906272
2009-01-01,-8.12,-2.01,-11.18,0.23,-1.15,0,-5.33276064299375,-5.33276064299375
2009-02-01,-10.1,-1.17,-7.27,1.71,-1.12,0.01,-5.14972593306142,-5.15972593306142
2009-03-01,8.95,0.67,3.56,-2.33,-2.22,0.02,10.5781126538452,10.5581126538452
2009-04-01,10.19,6.71,5.53,0.28,0.14,0.01,8.98515715646815,8.97515715646816
2009-05-01,5.21,-2.33,-0.23,-0.98,-2.16,0,-0.114769584928559,-0.114769584928559
2009-06-01,0.43,2.32,-2.72,-1.06,-0.17,0.01,-0.697431115328404,-0.707431115328404
2009-07-01,7.72,2.44,5.28,-0.66,3.2,0.01,4.08236824221052,4.07236824221052
2009-08-01,3.33,-0.05,7.75,-3.02,3.18,0.01,4.34171094812049,4.33171094812049
2009-09-01,4.08,2.74,0.93,1.36,0.38,0.01,0.887677291524726,0.877677291524726
2009-10-01,-2.59,-4.78,-4.18,4.18,-1.66,0,2.21287722872963,2.21287722872963
2009-11-01,5.56,-2.8,-0.17,0.81,0.13,0,0.46768797278258,0.46768797278258
2009-12-01,2.75,6.22,0,0.48,-0.07,0.01,1.788773612067,1.778773612067
2010-01-01,-3.36,0.29,0.3,-1.39,0.46,0,0.567559876935032,0.567559876935032
2010-02-01,3.4,1.46,3.16,-0.33,1.4,0,1.70484784550251,1.70484784550251
2010-03-01,6.31,1.79,2.11,-0.56,1.7,0.01,4.53040658006608,4.52040658006608
2010-04-01,2,5.04,2.81,1.1,1.69,0.01,3.27047062088401,3.26047062088401
2010-05-01,-7.89,0.06,-2.38,1.37,-0.22,0.01,-4.44782121449566,-4.45782121449566
2010-06-01,-5.56,-2.49,-4.5,-0.21,-1.51,0.01,-4.70213513198964,-4.71213513198964
2010-07-01,6.93,0.09,-0.26,0.24,2.02,0.01,2.59256471462007,2.58256471462008
2010-08-01,-4.77,-3.1,-1.95,0.72,-1.69,0.01,-2.60483966464078,-2.61483966464078
2010-09-01,9.54,3.72,-3.13,-0.21,0.47,0.01,7.53016299638041,7.52016299638041
2010-10-01,3.88,0.78,-2.6,1.3,-0.23,0.01,3.93720582930967,3.92720582930967
2010-11-01,0.6,3.6,-0.9,0.24,1.64,0.01,-2.02944130328648,-2.03944130328648
2010-12-01,6.82,0.95,3.82,-3.65,3.22,0.01,4.01614373842247,4.00614373842247
2011-01-01,1.99,-2.42,0.82,-0.89,0.69,0.01,3.12281030389886,3.11281030389886
2011-02-01,3.49,1.64,1.1,-1.93,0.95,0.01,1.87361791108708,1.86361791108708
2011-03-01,0.45,2.67,-1.58,1.64,-0.03,0.01,-1.0505702950515,-1.0605702950515
2011-04-01,2.9,-0.51,-2.52,1.09,-0.84,0,1.47438500130219,1.47438500130219
2011-05-01,-1.27,-0.69,-2.08,2.02,-1.5,0,-2.47571769429309,-2.47571769429309
2011-06-01,-1.75,0.11,-0.32,2.38,-1.45,0,-1.81417673843504,-1.81417673843504
2011-07-01,-2.36,-1.34,-1.21,2.43,-1.76,0,-3.70924901350995,-3.70924901350995
2011-08-01,-5.99,-3.2,-2.48,3.2,-0.24,0.01,-7.0921615972813,-7.1021615972813
2011-09-01,-7.59,-3.78,-1.41,1.85,0.28,0,-11.1973569626557,-11.1973569626557
2011-10-01,11.35,3.57,-0.18,-1.87,-0.88,0,13.1193556412435,13.1193556412435
2011-11-01,-0.28,-0.26,-0.34,1.79,1.53,0,-0.870391068136084,-0.870391068136084
2011-12-01,0.74,-0.44,1.77,0.8,2.4,0,4.29153721059194,4.29153721059194
2012-01-01,5.05,2.16,-1.13,-1.81,-1.4,0,7.33278072092237,7.33278072092237
2012-02-01,4.42,-1.63,0.08,-0.19,-0.1,0,1.59322341257982,1.59322341257982
