,ALLE,BK,CC,DD,FDO,GE,IR,LM,MDLZ,NVT,PEP,PG,PNR,PPG,SYY,TIF,WEN
2020 Q1,,4.71,,,,7.35,,2.73,11.44,3.3,,49.2,,,15.57,,5.71
2019 Q4,,6.45,,,,7.56,,1.47,10.93,3.66,,42.34,,,21.35,,6.24
2019 Q3,,5.74,,,,5.99,,1.55,10.87,3.12,,47.56,,,19.62,,5.55
2019 Q2,,5.88,,,,7.12,,1.57,10.71,3.55,,42.39,,5.2,17.67,,5.92
2019 Q1,,7.15,,,,7.58,,,10.06,5.07,,40.87,,7.23,16.56,,5.48
2018 Q4,,8.22,,,,5.81,,,8.16,4.27,,37.73,3.51,7.76,19.2,,5.35
2018 Q3,,7.96,,,,7.74,,,7.82,4.61,,30.52,5.05,4.37,26.68,,5.24
2018 Q2,,8.45,,,,9.36,,,7.49,4.28,,28.72,5.61,2.61,28.21,,5.27
2018 Q1,,8.39,,,,9.63,,,7.92,,,30.32,10.59,,27.12,,6.03
2017 Q4,,7.19,,,,10.46,,,15.39,,,29.47,9.21,,22.86,,5.42
2017 Q3,,9.14,,,,13.19,,,13.31,,,26.56,7.96,,18.49,,4.67
2017 Q2,,12.45,,,,14.42,,,13.84,,,24.71,7.62,,16.68,,4.56
2017 Q1,,11.47,,,,15.42,,,14.29,,,24.74,6.75,,17.12,,4.55
2016 Q4,,13.83,,,,19.2,,,17.67,,,4.86,7.25,,21.95,,5.43
2016 Q3,,12.61,,,,21.02,,,20.6,,,,9.0,,21.05,,4.3
2016 Q2,,11.93,,,,22.42,,,20.82,,,,7.96,,21.25,,3.74
2016 Q1,,11.29,,,,22.73,,3.69,18.56,,,,7.49,,19.47,0.01,4.28
2015 Q4,,10.34,,,,19.65,,3.51,17.47,,14.84,,5.5,,14.19,0.01,3.56
2015 Q3,,10.1,0.27,,,19.5,1.23,3.92,17.16,,14.74,,5.67,,13.78,0.01,3.01
2015 Q2,,12.26,,,0.0,12.74,4.75,5.5,19.09,,16.52,,4.51,,3.56,0.01,5.89
2015 Q1,1.18,14.21,,,0.0,,6.82,8.31,20.25,,20.46,,,,,0.01,8.25
