,AABA,ABEV,AIG,AIQ,ALLY,AMX,APFH,APO,AU,AZUL,BABA,BANR,BBD,BCEI,BIDU,BRFS,BRY,CCS,CEO,CHTR,CIT,CMLS,CX,CXPO,CZR,DLPH,DMND,DOOR,DYN,EGC,EGLE,ETFC,EURN,FBP,FCNCA,GNRT,GTY,IBN,INFN,INFY,ITUB,JD,LBTYA,LNCE,LVLT,LVNTA,MCF,MTG,MX,NMIH,NRG,NSM,NTAP,ORBK,ORIG,PBR,PCG,PULS,SBLK,SCAI,SMCI,STKL,STOR,SWY,TMHC,TMS,TPCO,TRCO,TRMD,TSL,TSM,TTM,TV,VALE,VICI,VIV,VRS,VSH,VST,XCO,YHOO
2020 Q1,,,,,7.38,,,,1.5,,2.71,,,,1.2,,,,,,,,1.15,,3.68,,,,,,1.95,,,,,,,1.45,4.76,,2.09,,1.12,,,,,,1.16,1.82,,,,,,1.91,,,7.85,,2.64,,,,1.89,,,,14.84,,5.9,,,,,,,,17.25,,
2019 Q4,,,,,8.34,,,,1.32,1.17,,,1.29,,,1.23,3.03,1.24,1.48,,,,,,5.17,,,,,,3.39,,,,,,,2.18,4.15,,2.81,,,,,,,,,3.64,,,,,,2.14,,,11.2,,1.44,,,,,,,,13.46,,4.35,,,,,,,,15.63,,
2019 Q3,,,,,9.98,,,,1.21,1.02,,,,,,1.37,3.32,1.53,1.42,,,,,,4.89,,,,,,3.55,,1.92,,,,,2.8,3.14,1.12,,,,,,,,,0.91,3.59,,,,,,,,,10.54,,1.27,,,,,,,,11.24,,3.64,,,,,,,,20.05,,
2019 Q2,,,,,9.51,,,,1.5,1.42,,,,,,1.19,3.83,1.36,1.66,,,,,,5.05,,,,,,3.97,,2.15,,,,,3.05,1.71,1.1,,,,,,,,,,3.96,,,,,,0.96,,,10.12,,1.3,,,,,,,,11.61,,3.21,,,,,,,,17.87,,
2019 Q1,,,,,9.19,,,,1.25,1.3,1.91,,,1.16,,,2.7,1.31,1.92,,,,,,3.97,,,,,,3.66,,1.98,,,,,3.54,2.73,1.19,,,,,,,,,,4.41,,,,,,,,,6.98,,1.27,,,,,,,,10.73,,3.56,,,,,,,,18.77,,
2018 Q4,,,,,8.36,,,,1.21,1.26,1.37,,,1.11,,,,0.99,1.52,,,,,,2.14,,,,,,3.79,,2.0,,,,,3.05,2.63,,,,,,,,,,,3.19,,,,,,,,,9.83,,,0.99,,,,,,,10.06,,4.47,,,1.25,1.69,,,,21.72,,
2018 Q3,0.92,,,,6.47,,,,0.94,0.94,,,,,,,,1.34,1.53,,,,0.95,,,,,,,,,,2.24,,,,,2.51,,1.33,,,,,,,,,,3.61,,,,,,,1.57,,12.39,,,1.67,,,,,,5.87,8.02,,4.49,,,1.38,2.17,,,,24.93,,
2018 Q2,6.81,,,,5.91,,,,,,,,,,,,,1.48,1.16,,,,,,,,,,,0.89,,,2.26,,,,,2.02,,1.94,,,,,,,,,0.86,2.39,,,,,0.84,,,,10.16,,,1.76,,,,,,7.51,9.7,,3.02,,,0.82,2.07,,1.33,,27.24,,
2018 Q1,8.14,1.13,,,6.52,,,,,1.02,2.56,,,,,,,1.5,0.92,,,,,,,,,,1.77,,,,,,,2.03,,2.19,,1.74,,,,,,,,,,2.59,,,,,,,,,10.44,,,1.58,,,,,,7.8,,,3.5,,,1.2,3.42,,1.27,,27.81,,
2017 Q4,2.01,,,,7.72,,,,,,2.3,,,,,1.21,,1.53,,,,,,,,,,,2.71,,,,,1.29,,2.34,,2.32,,1.26,3.25,,,,,,,,,2.62,,,,,,1.64,,,9.94,,,1.7,,,,,,8.27,,,3.83,,,3.12,,,1.3,,24.97,,
2017 Q3,5.6,0.98,,,6.52,,,,,,3.2,,,,,1.2,,0.99,,,,,1.35,,,,,,2.24,1.1,,,,1.4,,1.6,,1.78,,,,,,,,,,,,1.96,,0.91,,,,,,,8.59,,,1.04,,,,,,15.74,,,4.13,,,2.47,,,,,25.52,,
2017 Q2,1.73,0.85,,,6.49,,,,0.89,,2.73,,,,,0.88,,1.09,,,,,2.06,,,,,,2.08,2.17,,,,3.46,,2.22,,1.95,,,,,,,,,,,,1.99,,0.97,,,,,,,9.54,,,1.34,,,,,,17.3,,,4.01,,,,,,,,25.27,,
2017 Q1,,0.86,,,6.09,1.02,28.54,,0.85,,2.0,,,,,,,1.08,,,,,1.8,,,,,,1.91,3.38,,,,3.26,,2.14,,1.64,,,,,,,,,,1.33,,1.91,,,,,,,,,11.12,,,,,,,,,15.25,,,3.6,,,,,0.94,,,,,1.18
2016 Q4,,,,,5.75,0.89,38.02,,0.68,,1.6,,,,,,,0.91,0.67,,,,1.59,,,,,,2.1,,,,,6.14,,1.73,,1.41,,,,,,,,,,1.74,,1.83,,,,,,,,,4.38,,,,,,,,1.92,14.63,,,3.18,,,,,0.84,,,,0.79,
2016 Q3,,,,,5.86,,34.52,,,,1.72,3.13,,,,,,0.91,,,,,1.56,,,,,,3.02,,,,,6.3,,1.93,,1.28,,,,,,,,1.14,,2.09,,1.28,,,,,,,,,3.82,,,,,,,,2.29,14.99,,0.73,3.01,,,,,0.74,,,,1.17,
2016 Q2,,,,,8.31,,,,,,,5.17,,,,1.28,,1.19,,,,,2.27,,,,,,6.79,,,,,7.77,,3.91,,1.39,,,,1.43,,,,1.72,,2.51,,1.49,,,,,,,,,3.17,,,,,,,,3.03,25.99,,1.68,5.33,,,,,1.18,,,,2.75,
2016 Q1,,,,,8.65,,,,,,,5.24,,,,1.87,,1.2,,,,,1.79,,,,,,6.56,,,,,5.86,,4.42,,1.56,,,,2.23,,1.85,,1.86,,3.32,,1.41,,,,,,,,,4.11,,,,,,,,1.74,26.08,,1.94,4.87,,,,,,,,,2.14,
2015 Q4,,,,1.88,4.08,,,,,,,3.02,,,,0.99,,,,,,,,,,,4.32,,3.34,,1.4,,,3.45,,3.13,,,,,,1.18,,,,1.0,,2.02,,0.97,,,,,,,,,1.75,,,,41.38,,,,1.1,12.13,,1.03,2.57,,,,,,,,,1.42,
2015 Q3,,,,2.08,4.4,,,,,,,,,,,1.36,,,,,,,1.16,,,,3.41,,5.08,,2.33,,,3.72,,3.57,,0.94,,,,1.02,,,,,,2.09,,1.04,,,,,,,,,5.8,,,,37.4,,,,0.92,12.58,,0.89,1.32,,0.94,,,,,,,,
2015 Q2,,,,1.75,3.97,,,,,,,,,,,1.18,,,,,,,1.12,,,,2.73,1.14,5.63,,2.16,,,3.97,,3.5,,,,,1.11,,,,,,,2.02,,,,,,,,1.35,,,6.54,,,,28.63,,,,1.43,14.85,,,2.03,,1.04,,,,,,,1.05,
2015 Q1,,,,1.8,3.42,,,,,,,,,,,0.87,,,,,,,0.94,,,,2.46,1.87,5.68,,1.98,,,4.42,,,,0.89,,,,,,,,,,1.65,,,,,,,,0.77,,,5.09,,,,32.71,,,,1.55,19.46,,0.81,1.59,,0.75,,,,,,,1.41,
2014 Q4,,,,1.74,3.83,,,,,,,,,,,0.93,,,,,,,0.78,,,,2.17,2.61,5.36,,3.65,,,4.27,,,,0.81,,,,,,,,,,1.74,,,,,,,,0.83,,,5.85,,,,30.89,,,,1.87,19.52,,,1.9,0.91,0.69,,,,,,,1.71,
2014 Q3,,,,3.72,6.61,,,,,,,,,,,1.18,,,,,,,1.78,,,,4.38,5.68,7.92,,,,,6.88,,,,,,,,,,,,,1.48,3.49,,,1.4,,,,,3.1,,,19.53,,,,,,,,3.28,,,1.31,3.08,1.95,1.22,,,,,1.36,,5.22,
2014 Q2,,,2.07,5.24,7.79,,,,,,,,,,,,,,,,,,1.62,,,,5.08,8.31,9.85,,,,,9.28,,,,,,,,,,,,,2.22,4.3,,,2.01,,,,,3.31,,,3.05,1.95,,,,,,,,,,1.33,2.83,1.67,1.48,,,,,1.74,,10.85,
2014 Q1,,,2.04,7.01,,,,,,,,,,,,,,,,,,,1.28,,,,6.78,10.15,9.04,,,,,10.0,,,,,,,,,,,1.46,,2.7,4.27,,,1.85,,,,,2.3,,2.03,3.62,3.15,,,,,,,,,,,2.41,1.62,1.2,,,,,1.8,,11.11,
2013 Q4,,,2.12,5.26,,,,,,,,,,,,,,,,4.46,,,,,,5.72,,12.02,7.94,,,1.64,,11.59,,,1.17,,,,,,,,2.32,,2.72,4.53,,,1.7,,,,,1.93,,,3.44,3.48,,,,,,,,,,,1.69,1.3,,,,,,1.63,,8.74,
2013 Q3,,,2.37,6.9,,,,1.48,,,,,,,,,,,,6.43,,0.91,,2.45,,9.19,,12.25,8.35,,,1.61,,12.46,,,1.45,,,,,,,,2.14,,,4.58,,,1.9,,0.83,,,,,,2.05,,,,,,,1.26,,,,,,,,,,,,1.86,,12.99,
2013 Q2,,,1.62,4.19,,,,1.7,,,,,,,,,,,,13.77,,0.76,,2.47,1.6,8.57,,,9.91,,,0.62,,20.22,,,1.65,,,,,,,,1.19,,,4.1,,,1.99,,,0.98,,,,,,,,,,0.67,,1.16,,,,,,,,,,,,2.15,,15.83,
2013 Q1,,,1.23,2.24,,,,1.64,,,,,,,,,,,,12.61,1.07,,,2.69,2.44,10.75,,,10.49,,,,,19.11,,,1.74,,,,,,,,1.23,,,1.35,,,1.46,,,0.85,,,,0.94,,,,,,1.59,,0.87,,,,,,,,,,,,2.27,,15.87,
2012 Q4,,,0.81,,,,,0.84,,,,,,,,,,,,40.66,6.41,0.47,,1.87,0.77,10.75,,,6.07,,,,,10.19,0.42,,1.13,,,,,,,,0.66,,,,,,0.92,,,,,,,0.52,,,,,,0.79,,0.6,,,,,,,,0.42,,,,1.28,,10.93,
