,AAL,ADNT,AIG,ALLY,AMZN,APA,APC,BAC,BBY,BEN,BKNG,BMC,BMY,C,CBRE,CHK,CHTR,CMCSA,COF,CPN,CVE,CXO,DELL,DISCA,DISCK,DNB,DTV,EBAY,EOG,FB,FCAU,FDX,FNF,FRX,GE,GOOG,GOOGL,GPS,HD,HLT,HOG,HRB,IMS,INTC,JPM,KMT,LEA,LMDIA,LNKD,LTD,MA,MAT,MCD,MDT,MGM,MON,MS,NFLX,NFX,ORCL,PHM,QRTEA,REGN,S,SGP,STZ,TEL,TRW,TWX,TXN,VIAB,WFT,WM,WU,XRX,YUM
2020 Q1,,,3.53,4.89,,,,5.25,,,4.22,,,6.13,8.51,,6.89,,3.72,,,,,,,,,,2.04,4.73,,,,,4.25,,11.08,,,2.63,,,,,,,3.22,,,,,,,,2.0,,,7.14,,,,2.0,6.11,,,4.45,4.54,,,,,,,,,
2019 Q4,3.25,,4.32,6.8,,3.38,,5.72,,,,,,7.63,9.44,,5.19,,4.98,,,3.24,,,,,,,,,4.91,,,,4.5,2.95,7.45,,,2.8,,,,,,,3.56,,,,,,,,3.71,,,4.03,,,,,5.04,,,,4.54,,,,,,,,,
2019 Q3,3.32,,5.23,8.21,,3.19,,5.28,,,,,,7.65,9.28,,4.93,,4.89,,,2.73,,,,,,,,,4.97,,,,4.13,11.2,,,,2.55,,,,,,,3.33,,,,,,,,3.35,,,3.63,,,,2.11,4.04,,,,4.92,,,,,,,,,
2019 Q2,3.73,,4.64,7.26,,3.25,,4.87,,,,,,7.35,8.67,,4.86,,4.52,,,3.38,,,,,,,,,5.02,,,,4.61,9.57,,,,2.49,,,,,,,2.73,,,,3.15,,,,3.21,,,4.62,,,,,4.23,,,,5.48,,,,,,,,,
2019 Q1,3.68,,3.8,6.76,,3.94,2.32,4.88,,,,,,6.62,9.12,,4.32,,4.12,,,,,,,,,,,,5.72,,,,4.68,10.72,,,,,,,,,,,2.4,,,,2.93,,,,2.92,,,4.54,,,,3.07,3.9,,,,6.37,,,,,,,,,
2018 Q4,4.14,,3.8,6.29,,3.26,2.44,4.76,,,,,,6.42,8.93,,3.88,,4.17,,,,,,,,,,,,6.08,,,,4.33,11.08,,,,,,,,,,,2.37,,,,3.0,,,,3.01,,,3.72,,,,4.3,4.28,,,,6.83,,,,,,,,,
2018 Q3,3.51,3.68,4.61,5.27,,4.72,,4.08,,,,,,6.35,7.06,3.49,4.06,,3.76,,,,,,,,,,,,5.29,,,,3.58,9.17,,,,,,,,,,,,,,,5.55,,,,3.67,,,,,3.23,,3.58,4.2,,,,6.46,,,,,,,,,
2018 Q2,,3.51,4.77,5.23,,4.92,,3.91,,,,,,5.93,7.65,4.07,3.66,,3.64,,,,,,,,,,,,5.71,,,,4.31,8.57,,,,,,,,,,,,,,,4.9,,,,3.81,,,,,3.94,,3.42,3.59,,,,6.62,,,,,3.27,,,,
2018 Q1,4.33,4.36,5.39,5.43,,4.06,,4.17,,,,,,6.0,8.57,2.35,4.44,,3.81,,,,,,,,,,,,7.0,,,,2.41,7.96,,,,,,,,,,,,,,,5.35,,,,4.87,,,,,4.11,,4.07,,,,,7.71,,,,,2.28,,,,
2017 Q4,,,4.84,5.46,,4.17,,4.37,,,,,,6.19,7.5,2.57,3.83,,3.7,,,,,,,,,,,,7.18,,2.56,,4.05,9.31,,,,,3.56,,,,,,,,,,4.58,,,,4.35,,,,,4.28,,3.69,,,,,6.99,,,,,4.31,,,,
2017 Q3,,,4.12,4.69,,4.29,,4.21,,,,,,6.49,6.9,2.88,,,3.53,,,,,,,,,,,,7.86,,5.14,,5.79,8.97,,,,,3.48,,,,4.12,,,,,,4.65,,,,4.38,,,,,4.52,,3.68,,,,,6.45,,,,,3.86,,,,
2017 Q2,,,4.49,3.76,,5.15,,4.32,,,,,,6.39,7.62,2.13,,,4.24,,,,,,,,,,,,4.99,,5.2,,5.71,9.09,,,,,4.18,,,,4.22,,,,,,4.93,,,,4.5,,,,,5.02,,3.73,,,,,6.54,,,,,3.79,,,,
2017 Q1,,,4.6,4.31,,4.95,,4.31,,,,,,5.86,7.48,4.37,,,3.97,,,,,,,,,,,,5.27,,4.63,,5.89,8.52,,,,,4.8,,,2.82,4.16,,,,,,4.89,,,,5.11,,,,,4.58,,3.12,,,,,6.36,,,,,,,,,
2016 Q4,,,5.05,3.68,,5.43,,5.69,,,,,,6.11,7.1,4.46,,,4.2,,,,,,,,,,,,4.61,,4.24,,6.55,8.31,,,,,4.85,,,2.97,4.79,,,,,,4.71,,,,3.63,,,,,4.14,,3.27,,,,,6.2,,,,,,,,,
2016 Q3,,,6.59,,,6.03,,5.61,,,,,,5.36,6.83,4.32,,,4.5,,,,,,,,,,,,3.51,,4.99,,6.66,8.66,,,,,4.74,,,3.35,5.35,,,,,,5.46,,,,3.55,,,,,4.58,,3.55,,,,,6.37,,,,,,,,,
2016 Q2,,,6.45,,,5.77,,5.74,,,,,,6.12,5.9,0.3,,,4.1,,,,,,,,,,,,0.38,,6.44,,7.78,8.48,,,,,4.49,,,4.34,5.92,,,,6.0,,5.4,,,,,,,,,5.25,,4.95,,,,,6.22,,,,,,,,,
2016 Q1,,,6.65,,,5.28,,5.7,,,,,,5.65,5.82,0.54,,,4.3,4.06,,,,,,,,,,,1.22,,5.46,,9.32,9.26,,,,,,,,4.29,6.1,,,,,,5.93,,,,,3.56,,,,5.37,,4.79,,,,,6.72,,,,,,,,,
2015 Q4,,,7.02,,,4.35,,6.51,,,,,,6.27,5.71,2.41,,,4.06,3.47,,,,,,,,,,,3.21,,5.0,,8.32,8.61,,,,,,,,4.09,6.36,,,,,,5.52,,,,,3.63,,,,4.4,,4.64,,,,,6.42,,,,,,,,,
2015 Q3,,,6.86,,4.09,1.15,,6.42,,,,,,6.41,5.63,3.7,,,4.34,2.87,,,,,,,,,,,3.08,,5.45,,7.18,8.19,,,,,,,,3.82,6.26,,,,,,5.44,,,,,3.35,,,,4.64,,4.75,,,,,6.35,,,,,,,,,
